Pixel-X	Pixel-Y	Longitude	Latitude	sst	qual_sst
370.5	22.5	61.31005525148289	31.38237681154345	37.04	0
371.5	22.5	61.351755801498776	31.38237681154345	37.04	0
370.5	23.5	61.31005525148289	31.340704683397636	37.04	0
371.5	23.5	61.351755801498776	31.340704683397636	37.04	0
78.5	44.5	49.13349464684449	30.465589992335584	31.789999	0
79.5	44.5	49.17519519686038	30.465589992335584	31.89	0
80.5	44.5	49.21689574687626	30.465589992335584	32.125	0
81.5	44.5	49.258596296892144	30.465589992335584	32.085	0
77.5	45.5	49.09179409682861	30.42391786418977	31.755	0
78.5	45.5	49.13349464684449	30.42391786418977	31.785	0
79.5	45.5	49.17519519686038	30.42391786418977	31.965	0
80.5	45.5	49.21689574687626	30.42391786418977	32.27	0
81.5	45.5	49.258596296892144	30.42391786418977	32.12	0
72.5	46.5	48.88329134674918	30.382245736043963	31.039999	0
73.5	46.5	48.924991896765064	30.382245736043963	31.48	0
74.5	46.5	48.966692446780954	30.382245736043963	31.73	0
77.5	46.5	49.09179409682861	30.382245736043963	31.795	0
78.5	46.5	49.13349464684449	30.382245736043963	31.84	0
79.5	46.5	49.17519519686038	30.382245736043963	32.12	0
80.5	46.5	49.21689574687626	30.382245736043963	32.405	0
81.5	46.5	49.258596296892144	30.382245736043963	32.465	0
72.5	47.5	48.88329134674918	30.34057360789815	31.23	0
73.5	47.5	48.924991896765064	30.34057360789815	31.63	0
74.5	47.5	48.966692446780954	30.34057360789815	31.724998	0
75.5	47.5	49.008392996796836	30.34057360789815	31.635	0
79.5	47.5	49.17519519686038	30.34057360789815	32.54	0
80.5	47.5	49.21689574687626	30.34057360789815	32.704998	0
81.5	47.5	49.258596296892144	30.34057360789815	32.75	0
72.5	48.5	48.88329134674918	30.298901479752338	31.439999	0
73.5	48.5	48.924991896765064	30.298901479752338	31.71	0
74.5	48.5	48.966692446780954	30.298901479752338	31.8	0
75.5	48.5	49.008392996796836	30.298901479752338	31.81	0
72.5	49.5	48.88329134674918	30.257229351606526	31.58	0
73.5	49.5	48.924991896765064	30.257229351606526	31.81	0
74.5	49.5	48.966692446780954	30.257229351606526	31.929998	0
75.5	49.5	49.008392996796836	30.257229351606526	31.974998	0
76.5	49.5	49.05009354681272	30.257229351606526	31.525	0
77.5	49.5	49.09179409682861	30.257229351606526	32.155	0
78.5	49.5	49.13349464684449	30.257229351606526	32.645	0
79.5	49.5	49.17519519686038	30.257229351606526	33.1	0
73.5	50.5	48.924991896765064	30.215557223460713	31.955	0
74.5	50.5	48.966692446780954	30.215557223460713	31.92	0
75.5	50.5	49.008392996796836	30.215557223460713	31.875	0
76.5	50.5	49.05009354681272	30.215557223460713	31.845	0
77.5	50.5	49.09179409682861	30.215557223460713	31.994999	0
78.5	50.5	49.13349464684449	30.215557223460713	32.19	0
79.5	50.5	49.17519519686038	30.215557223460713	32.29	0
80.5	50.5	49.21689574687626	30.215557223460713	32.355	0
81.5	50.5	49.258596296892144	30.215557223460713	32.765	0
96.5	50.5	49.88410454713042	30.215557223460713	32.645	0
97.5	50.5	49.92580509714631	30.215557223460713	32.62	0
98.5	50.5	49.96750564716219	30.215557223460713	32.41	0
99.5	50.5	50.009206197178074	30.215557223460713	32.625	0
100.5	50.5	50.05090674719396	30.215557223460713	32.675	0
101.5	50.5	50.092607297209845	30.215557223460713	32.755	0
73.5	51.5	48.924991896765064	30.1738850953149	31.75	0
74.5	51.5	48.966692446780954	30.1738850953149	31.734999	0
75.5	51.5	49.008392996796836	30.1738850953149	31.695	0
76.5	51.5	49.05009354681272	30.1738850953149	31.75	0
77.5	51.5	49.09179409682861	30.1738850953149	31.82	0
78.5	51.5	49.13349464684449	30.1738850953149	32.0	0
79.5	51.5	49.17519519686038	30.1738850953149	32.165	0
80.5	51.5	49.21689574687626	30.1738850953149	32.27	0
81.5	51.5	49.258596296892144	30.1738850953149	32.809998	0
83.5	51.5	49.341997396923915	30.1738850953149	31.15	0
