Pixel-X	Pixel-Y	Longitude	Latitude	sst	qual_sst
78.5	44.5	49.13349464684449	30.465589992335584	33.149998	0
79.5	44.5	49.17519519686038	30.465589992335584	33.135	0
80.5	44.5	49.21689574687626	30.465589992335584	32.93	0
81.5	44.5	49.258596296892144	30.465589992335584	33.05	0
76.5	45.5	49.05009354681272	30.42391786418977	34.015	0
77.5	45.5	49.09179409682861	30.42391786418977	32.985	0
78.5	45.5	49.13349464684449	30.42391786418977	33.114998	0
79.5	45.5	49.17519519686038	30.42391786418977	33.184998	0
80.5	45.5	49.21689574687626	30.42391786418977	33.329998	0
81.5	45.5	49.258596296892144	30.42391786418977	33.335	0
76.5	46.5	49.05009354681272	30.382245736043963	34.434998	0
77.5	46.5	49.09179409682861	30.382245736043963	33.505	0
78.5	46.5	49.13349464684449	30.382245736043963	33.125	0
79.5	46.5	49.17519519686038	30.382245736043963	33.27	0
80.5	46.5	49.21689574687626	30.382245736043963	33.485	0
81.5	46.5	49.258596296892144	30.382245736043963	33.645	0
72.5	47.5	48.88329134674918	30.34057360789815	33.309998	0
73.5	47.5	48.924991896765064	30.34057360789815	33.21	0
74.5	47.5	48.966692446780954	30.34057360789815	33.19	0
75.5	47.5	49.008392996796836	30.34057360789815	33.204998	0
77.5	47.5	49.09179409682861	30.34057360789815	34.25	0
78.5	47.5	49.13349464684449	30.34057360789815	34.25	0
79.5	47.5	49.17519519686038	30.34057360789815	33.61	0
80.5	47.5	49.21689574687626	30.34057360789815	33.875	0
81.5	47.5	49.258596296892144	30.34057360789815	33.91	0
72.5	48.5	48.88329134674918	30.298901479752338	33.295	0
73.5	48.5	48.924991896765064	30.298901479752338	33.265	0
74.5	48.5	48.966692446780954	30.298901479752338	33.265	0
75.5	48.5	49.008392996796836	30.298901479752338	33.315	0
72.5	49.5	48.88329134674918	30.257229351606526	33.27	0
73.5	49.5	48.924991896765064	30.257229351606526	33.395	0
74.5	49.5	48.966692446780954	30.257229351606526	33.434998	0
75.5	49.5	49.008392996796836	30.257229351606526	33.475	0
77.5	49.5	49.09179409682861	30.257229351606526	34.165	0
78.5	49.5	49.13349464684449	30.257229351606526	33.69	0
79.5	49.5	49.17519519686038	30.257229351606526	33.469997	0
73.5	50.5	48.924991896765064	30.215557223460713	33.684998	0
74.5	50.5	48.966692446780954	30.215557223460713	33.63	0
75.5	50.5	49.008392996796836	30.215557223460713	33.559998	0
76.5	50.5	49.05009354681272	30.215557223460713	33.77	0
77.5	50.5	49.09179409682861	30.215557223460713	33.989998	0
78.5	50.5	49.13349464684449	30.215557223460713	33.715	0
