Pixel-X	Pixel-Y	Longitude	Latitude	sst	qual_sst
38.5	40.5	47.46547264620909	30.632278504918833	31.349998	0
39.5	40.5	47.507173196224976	30.632278504918833	31.349998	0
38.5	41.5	47.46547264620909	30.59060637677302	31.304998	0
39.5	41.5	47.507173196224976	30.59060637677302	31.349998	0
78.5	45.5	49.13349464684449	30.42391786418977	18.725	0
79.5	45.5	49.17519519686038	30.42391786418977	19.425	0
78.5	46.5	49.13349464684449	30.382245736043963	18.725	0
79.5	46.5	49.17519519686038	30.382245736043963	19.425	0
73.5	49.5	48.924991896765064	30.257229351606526	18.625	0
74.5	49.5	48.966692446780954	30.257229351606526	18.26	0
75.5	49.5	49.008392996796836	30.257229351606526	17.835	0
73.5	50.5	48.924991896765064	30.215557223460713	18.6	0
74.5	50.5	48.966692446780954	30.215557223460713	18.18	0
75.5	50.5	49.008392996796836	30.215557223460713	17.615	0
76.5	50.5	49.05009354681272	30.215557223460713	17.68	0
77.5	50.5	49.09179409682861	30.215557223460713	17.715	0
78.5	50.5	49.13349464684449	30.215557223460713	17.324999	0
79.5	50.5	49.17519519686038	30.215557223460713	15.964999	0
96.5	50.5	49.88410454713042	30.215557223460713	17.91	0
97.5	50.5	49.92580509714631	30.215557223460713	17.904999	0
98.5	50.5	49.96750564716219	30.215557223460713	17.895	0
99.5	50.5	50.009206197178074	30.215557223460713	17.855	0
100.5	50.5	50.05090674719396	30.215557223460713	18.08	0
101.5	50.5	50.092607297209845	30.215557223460713	18.805	0
73.5	51.5	48.924991896765064	30.1738850953149	18.25	0
74.5	51.5	48.966692446780954	30.1738850953149	17.805	0
75.5	51.5	49.008392996796836	30.1738850953149	17.145	0
76.5	51.5	49.05009354681272	30.1738850953149	17.63	0
77.5	51.5	49.09179409682861	30.1738850953149	17.605	0
78.5	51.5	49.13349464684449	30.1738850953149	17.555	0
79.5	51.5	49.17519519686038	30.1738850953149	17.67	0
80.5	51.5	49.21689574687626	30.1738850953149	17.18	0
84.5	51.5	49.383697946939805	30.1738850953149	17.885	0
85.5	51.5	49.42539849695569	30.1738850953149	17.635	0
86.5	51.5	49.46709904697157	30.1738850953149	17.43	0
94.5	51.5	49.80070344709865	30.1738850953149	18.035	0
95.5	51.5	49.84240399711454	30.1738850953149	17.955	0
96.5	51.5	49.88410454713042	30.1738850953149	17.93	0
97.5	51.5	49.92580509714631	30.1738850953149	17.91	0
98.5	51.5	49.96750564716219	30.1738850953149	17.824999	0
99.5	51.5	50.009206197178074	30.1738850953149	17.795	0
100.5	51.5	50.05090674719396	30.1738850953149	17.88	0
101.5	51.5	50.092607297209845	30.1738850953149	17.984999	0
74.5	52.5	48.966692446780954	30.13221296716909	17.435	0
75.5	52.5	49.008392996796836	30.13221296716909	17.27	0
76.5	52.5	49.05009354681272	30.13221296716909	17.515	0
77.5	52.5	49.09179409682861	30.13221296716909	17.4	0
78.5	52.5	49.13349464684449	30.13221296716909	17.529999	0
79.5	52.5	49.17519519686038	30.13221296716909	17.619999	0
80.5	52.5	49.21689574687626	30.13221296716909	17.73	0
81.5	52.5	49.258596296892144	30.13221296716909	18.005	0
82.5	52.5	49.30029684690803	30.13221296716909	18.115	0
83.5	52.5	49.341997396923915	30.13221296716909	17.945	0
84.5	52.5	49.383697946939805	30.13221296716909	17.865	0
85.5	52.5	49.42539849695569	30.13221296716909	18.055	0
86.5	52.5	49.46709904697157	30.13221296716909	17.654999	0
92.5	52.5	49.717302347066884	30.13221296716909	18.315	0
93.5	52.5	49.759002897082766	30.13221296716909	18.225	0
94.5	52.5	49.80070344709865	30.13221296716909	18.08	0
95.5	52.5	49.84240399711454	30.13221296716909	17.89	0
96.5	52.5	49.88410454713042	30.13221296716909	17.859999	0
97.5	52.5	49.92580509714631	30.13221296716909	17.869999	0
98.5	52.5	49.96750564716219	30.13221296716909	17.75	0
99.5	52.5	50.009206197178074	30.13221296716909	17.725	0
100.5	52.5	50.05090674719396	30.13221296716909	17.81	0
101.5	52.5	50.092607297209845	30.13221296716909	17.93	0
102.5	52.5	50.13430784722573	30.13221296716909	18.045	0
74.5	53.5	48.966692446780954	30.090540839023276	17.685	0
75.5	53.5	49.008392996796836	30.090540839023276	17.74	0
76.5	53.5	49.05009354681272	30.090540839023276	17.734999	0
77.5	53.5	49.09179409682861	30.090540839023276	17.744999	0
78.5	53.5	49.13349464684449	30.090540839023276	17.83	0
79.5	53.5	49.17519519686038	30.090540839023276	17.699999	0
80.5	53.5	49.21689574687626	30.090540839023276	17.75	0
81.5	53.5	49.258596296892144	30.090540839023276	17.92	0
82.5	53.5	49.30029684690803	30.090540839023276	17.99	0
83.5	53.5	49.341997396923915	30.090540839023276	17.88	0
84.5	53.5	49.383697946939805	30.090540839023276	17.85	0
85.5	53.5	49.42539849695569	30.090540839023276	18.14	0
86.5	53.5	49.46709904697157	30.090540839023276	17.805	0
87.5	53.5	49.50879959698746	30.090540839023276	17.859999	0
91.5	53.5	49.675601797050994	30.090540839023276	17.91	0
92.5	53.5	49.717302347066884	30.090540839023276	17.955	0
93.5	53.5	49.759002897082766	30.090540839023276	18.055	0
94.5	53.5	49.80070344709865	30.090540839023276	18.02	0
95.5	53.5	49.84240399711454	30.090540839023276	17.875	0
96.5	53.5	49.88410454713042	30.090540839023276	17.779999	0
97.5	53.5	49.92580509714631	30.090540839023276	17.795	0
98.5	53.5	49.96750564716219	30.090540839023276	17.785	0
99.5	53.5	50.009206197178074	30.090540839023276	17.775	0
100.5	53.5	50.05090674719396	30.090540839023276	17.935	0
101.5	53.5	50.092607297209845	30.090540839023276	18.08	0
102.5	53.5	50.13430784722573	30.090540839023276	18.215	0
73.5	54.5	48.924991896765064	30.048868710877464	17.93	0
74.5	54.5	48.966692446780954	30.048868710877464	17.904999	0
75.5	54.5	49.008392996796836	30.048868710877464	17.914999	0
76.5	54.5	49.05009354681272	30.048868710877464	17.92	0
77.5	54.5	49.09179409682861	30.048868710877464	17.97	0
78.5	54.5	49.13349464684449	30.048868710877464	17.895	0
79.5	54.5	49.17519519686038	30.048868710877464	17.824999	0
80.5	54.5	49.21689574687626	30.048868710877464	17.734999	0
81.5	54.5	49.258596296892144	30.048868710877464	17.8	0
82.5	54.5	49.30029684690803	30.048868710877464	17.815	0
83.5	54.5	49.341997396923915	30.048868710877464	17.775	0
84.5	54.5	49.383697946939805	30.048868710877464	17.795	0
85.5	54.5	49.42539849695569	30.048868710877464	17.859999	0
86.5	54.5	49.46709904697157	30.048868710877464	17.795	0
87.5	54.5	49.50879959698746	30.048868710877464	17.58	0
88.5	54.5	49.55050014700334	30.048868710877464	16.994999	0
89.5	54.5	49.59220069701922	30.048868710877464	17.4	0
90.5	54.5	49.63390124703511	30.048868710877464	17.685	0
91.5	54.5	49.675601797050994	30.048868710877464	17.865	0
92.5	54.5	49.717302347066884	30.048868710877464	17.91	0
93.5	54.5	49.759002897082766	30.048868710877464	17.945	0
94.5	54.5	49.80070344709865	30.048868710877464	17.9	0
95.5	54.5	49.84240399711454	30.048868710877464	17.865	0
96.5	54.5	49.88410454713042	30.048868710877464	17.83	0
97.5	54.5	49.92580509714631	30.048868710877464	17.835	0
98.5	54.5	49.96750564716219	30.048868710877464	17.84	0
99.5	54.5	50.009206197178074	30.048868710877464	17.835	0
100.5	54.5	50.05090674719396	30.048868710877464	18.01	0
101.5	54.5	50.092607297209845	30.048868710877464	18.135	0
102.5	54.5	50.13430784722573	30.048868710877464	18.185	0
54.5	55.5	48.13268144646325	30.007196582731652	18.195	0
55.5	55.5	48.17438199647914	30.007196582731652	18.195	0
56.5	55.5	48.216082546495024	30.007196582731652	18.195	0
68.5	55.5	48.71648914668564	30.007196582731652	18.01	0
69.5	55.5	48.75818969670153	30.007196582731652	18.015	0
70.5	55.5	48.79989024671741	30.007196582731652	18.21	0
71.5	55.5	48.8415907967333	30.007196582731652	18.585	0
72.5	55.5	48.88329134674918	30.007196582731652	18.715	0
73.5	55.5	48.924991896765064	30.007196582731652	18.175	0
74.5	55.5	48.966692446780954	30.007196582731652	17.98	0
75.5	55.5	49.008392996796836	30.007196582731652	17.904999	0
